Date,State,Town,Longitude,Latitude,Sighting
09/14/17,LA,Mansfield,-93.5,32.1,5
09/14/17,ON,St. Catharines,-79.3,43.2,1
09/14/17,CA,Rancho Mirage,-116.4,33.7,3
09/13/17,TX,San Antonio,-98.6,29.5,2
09/13/17,IA,Cedar Falls,-92.5,42.5,2
09/13/17,TX,Fort Worth,-97.3,32.8,1
09/13/17,TX,Grapevine,-97.1,32.9,1
09/13/17,WI,Allenton,-88.4,43.4,2
09/13/17,IA,Union,-93,42.2,1
09/13/17,CO,Colorado City,-104.8,38,1
09/13/17,PA,Chambersburg,-77.7,39.9,2
09/13/17,TX,Live Oak,-98.3,29.6,1
09/13/17,TX,Houston,-95.6,30,9
09/13/17,TX,Austin,-97.8,30.2,1
09/13/17,PA,Morrisville,-74.8,40.2,1
09/13/17,ON,Leamington,-82.5,41.9,1
09/13/17,NJ,Montclair,-74.2,40.8,1
09/13/17,MO,Creve Coeur,-90.4,38.7,1
09/13/17,NY,New York,-74,40.8,11
09/13/17,IA,Cedar Falls,-92.5,42.5,5
09/13/17,CA,Antioch,-121.8,38,1
09/13/17,QC,Longueuil,-73.4,45.5,6
09/13/17,NY,New York,-73.9,40.7,1
09/13/17,MN,Cambridge,-93.2,45.6,2
09/13/17,QC,Dunham,-72.8,45.1,1
09/13/17,VA,Pulaski,-80.8,37,1
09/13/17,NJ,Bloomingdale,-74.3,41,1
09/13/17,MN,Lakeville,-93.3,44.7,5
09/13/17,MN,Minneapolis,-93.6,44.9,7
09/13/17,IL,Lockport,-88.1,41.6,1
09/13/17,PA,Media,-75.4,39.9,1
09/13/17,ON,Orillia,-79.5,44.6,2
09/13/17,MN,Columbia Heights,-93.2,45,1
09/13/17,LA,Franklin,-91.5,29.8,1
09/13/17,VT,Hartford,-72.3,43.7,1
09/13/17,MI,Harrisville,-83.3,44.6,1
09/13/17,TX,Fort Worth,-97.3,32.8,1
09/13/17,KY,Crestview Hills,-84.6,39,5
09/13/17,NC,Greensboro,-79.8,36.1,2
09/13/17,MI,Roscommon,-84.7,44.5,3
09/13/17,MI,Grosse Pointe Park,-82.9,42.4,1
09/13/17,TX,Plano,-96.7,33,1
09/13/17,TX,Plano,-96.7,33,7
09/13/17,KS,Topeka,-95.7,39,1
09/13/17,OH,Avon Lake,-82.1,41.5,2
09/13/17,WI,Milwaukee,-88.1,43.2,1
09/13/17,MI,Roscommon,-84.7,44.5,3
09/13/17,MN,Minneapolis,-93.3,44.9,3
09/13/17,VT,Pomfret,-72.5,43.7,1
09/13/17,NY,Bayside,-73.8,40.8,1
09/13/17,VA,Arlington,-77.1,38.9,1
09/13/17,MA,Northbridge,-71.7,42.1,1
09/13/17,MA,Townsend,-71.7,42.7,1
09/13/17,ON,Guelph,-80.2,43.5,1
09/13/17,NM,Albuquerque,-106.7,35.1,1
09/13/17,PA,Pennsylvania Furnace,-77.9,40.7,1
09/13/17,NY,Melrose,-73.6,42.8,4
09/13/17,WI,Portage,-89.5,43.6,1
09/13/17,TX,Plano,-96.7,33,3
09/13/17,NM,Cliff,-108.6,33,1
09/13/17,ON,Chatham-Kent,-82.2,42.4,3
09/13/17,ON,Toronto,-79.5,43.7,1
09/13/17,MO,Rolla,-91.8,38,1
09/13/17,MO,Kansas City,-94.5,39.1,1
09/13/17,MI,Vulcan,-87.8,45.8,2
09/13/17,MI,Norway,-87.9,45.8,2
09/13/17,ON,Leamington,-82.5,41.9,13
09/13/17,MN,Mazeppa,-92.5,44.2,1
09/13/17,OK,Oklahoma City,-97.5,35.5,3
09/13/17,OH,Cleveland,-81.7,41.5,1
09/13/17,OH,Westlake,-81.9,41.5,1
09/13/17,NH,Jackson,-71.2,44.3,1
09/13/17,NH,Andover,-71.8,43.4,1
09/13/17,NV,Reno,-119.8,39.5,1
09/13/17,TX,Corpus Christi,-97.4,27.7,1
09/13/17,NC,Raleigh,-78.7,35.7,1
09/13/17,MB,Hazelridge,-96.7,49.9,2
09/13/17,MA,Worcester,-71.9,42.3,3
09/13/17,NY,Horseheads,-76.9,42.2,1
09/13/17,IN,Brook,-87.4,40.9,1
09/13/17,IN,Hammond,-87.5,41.6,1
09/13/17,MA,Falmouth,-70.6,41.6,1
09/13/17,MI,Traverse City,-85.6,44.8,1
09/13/17,TX,Carrollton,-96.9,33,5
09/13/17,GA,Augusta,-82,33.5,1
09/13/17,TX,Keller,-97.2,32.9,1
09/13/17,CA,Huntington Beach,-118,33.7,2
09/13/17,ON,Athens,-75.9,44.6,2
09/13/17,PA,State College,-77.9,40.8,5
09/13/17,TX,San Antonio,-98.5,29.6,1
09/13/17,TX,Schertz,-98.2,29.6,1
09/13/17,NY,Indian Lake,-74.3,43.8,1
09/13/17,MO,Farmington,-90.4,37.7,1
09/13/17,MI,Saint Johns,-84.6,43,1
09/13/17,OH,Mentor,-81.3,41.7,6
09/13/17,CA,Oroville,-121.6,39.5,1
09/13/17,ON,Orillia,-79.4,44.6,1
09/13/17,NY,Remsen,-75.1,43.4,1
09/13/17,RI,Johnston,-71.5,41.8,1
09/13/17,MO,Columbia,-92.1,39,3
09/13/17,NC,Charlotte,-80.8,35.1,1
09/13/17,SC,Rock Hill,-81,34.9,1
09/13/17,OH,Brooklyn Heights,-81.7,41.4,4
09/13/17,TX,Killeen,-97.6,31.2,6
09/13/17,KS,Perry,-95.4,39.1,2
