Date,State,Town,Longitude,Latitude,Sighting
05/26/17,NE,Fremont,-96.5,41.4,1
05/26/17,MI,Detroit,-83,42.3,1
05/25/17,IL,aurora,-88.2,41.7,1
05/25/17,VA,Richmond,-77.4,37.6,1
05/25/17,AR,Mena,-94.2,34.6,1
05/25/17,MT,Bozeman,-111,45.7,1
05/25/17,IL,Bolingbrook,-88.1,41.7,1
05/24/17,VT,Norwich,-72.4,43.7,1
05/23/17,NY,East Meadow,-73.6,40.7,1
05/23/17,VA,Reston,-77.4,39,1
05/23/17,ON,Toronto,-79.4,43.7,1
05/23/17,WI,Wild Rose,-89.3,44.2,1
05/21/17,ON,Toronto,-79.2,43.8,1
05/21/17,PA,Lancaster,-76.3,40,1
05/21/17,IN,Lebanon,-86.5,39.9,1
05/21/17,NV,Reno,-119.8,39.5,1
05/20/17,TN,Maryville,-84,35.7,1
05/20/17,NY,Indian Lake,-74.3,43.8,1
05/19/17,MD,Prince Frederick,-76.6,38.5,1
05/19/17,MD,Port Republic,-76.5,38.5,1
05/18/17,MA,Plymouth,-70.6,41.8,1
05/18/17,GA,Woodstock,-84.4,34.1,1
05/18/17,NC,Marshallberg,-76.5,34.7,1
05/17/17,OH,Shaker Heights,-81.5,41.5,1
05/16/17,WI,Oconomowoc,-88.6,43.1,1
05/16/17,IL,Collinsville,-89.9,38.7,1
05/15/17,IA,Saint Charles,-93.9,41.3,1
05/15/17,BC,Agassiz,-121.8,49.2,1
05/14/17,ON,Longbow Lake,-94.3,49.7,1
05/14/17,CA,Truckee,-120.9,39.3,1
05/14/17,WI,De Pere,-88.1,44.4,1
05/13/17,ON,Toronto,-79.5,43.6,1
05/12/17,NY,Ballston,-73.9,42.9,1
05/11/17,IN,Brook,-87.4,40.9,1
05/11/17,PA,Philadelphia,-75.1,40,1
05/11/17,MA,Westhampton,-72.8,42.3,1
05/10/17,IL,Carpentersville,-88.3,42.1,1
05/10/17,MD,Bishopville,-75.1,38.4,1
05/10/17,WI,Verona,-89.5,43,1
05/09/17,IN,Newburgh,-87.4,37.9,1
05/09/17,IA,Oakland,-95.4,41.3,1
05/09/17,KS,Leawood,-94.6,38.9,1
05/09/17,NE,Greenwood,-96.4,41,1
05/09/17,TX,San Juan,-98.2,26.2,1
05/08/17,VA,McLean,-77.2,38.9,1
05/08/17,WI,Janesville,-89.1,42.7,1
05/08/17,MN,Owatonna,-93.3,44.1,1
05/08/17,PA,Philadelphia,-75,40,1
05/08/17,PA,Gouglersville,-76,40.3,1
05/07/17,FL,Fort Lauderdale,-80.2,26.1,1
05/07/17,TX,Spring,-95.4,30.1,1
05/07/17,NC,Hillsborough,-79.1,36.1,1
05/07/17,UT,South Jordan,-111.9,40.6,1
05/07/17,MN,Otsego,-93.6,45.3,1
05/07/17,NH,Portsmouth,-70.8,43.1,1
05/06/17,IL,Flat rock,-87.7,38.9,1
05/06/17,IL,Flat Rock,-87.7,38.9,1
05/05/17,TX,Houston,-95.6,30,1
05/05/17,MI,Detroit,-83,42.3,1
05/04/17,NY,STATEN ISLAND,-74.2,40.6,1
05/04/17,NC,Winston-Salem,-80.2,36.1,1
05/04/17,MN,Elk River,-93.5,45.4,1
05/03/17,OH,Berea,-81.9,41.4,1
05/03/17,NC,Marshallberg,-76.5,34.7,1
05/03/17,VA,Oakton,-77.3,38.9,1
05/03/17,KS,Overland Park,-94.6,38.9,1
05/03/17,VA,Ashburn,-77.5,39,1
05/03/17,NY,Sparkill,-73.9,41,1
05/02/17,MO,Grandview,-94.6,38.9,1
05/02/17,NV,Moapa,-114.7,36.7,1
05/02/17,VA,Sterling,-77.4,39,1
05/02/17,KY,Paducah,-88.6,37.1,1
05/01/17,MI,Fort Gratiot Township,-82.5,43.1,1
05/01/17,CA,Arroyo Grande,-120.6,35.1,1
05/01/17,LA,New Orleans,-90,30,1
05/01/17,IL,Westmont,-88,41.8,1
05/01/17,MD,Rockville,-77.2,39.1,1
04/30/17,MO,Kansas City,-94.6,39,1
04/29/17,PA,Bellefonte,-77.8,40.9,1
04/28/17,AL,Phenix City,-85,32.5,1
04/28/17,KY,Berea,-84.3,37.6,1
04/28/17,IN,Plainfield,-86.4,39.7,1
04/28/17,PA,Bellefonte,-77.8,40.9,1
04/27/17,MO,St. Louis,-90.2,38.6,1
04/27/17,MO,Springfield,-93.3,37.2,1
04/27/17,MI,Willis,-83.6,42.1,1
04/26/17,IL,Mount Prospect,-87.9,42.1,1
04/26/17,MD,Upper Marlboro,-76.7,38.8,1
04/26/17,VA,Nokesville,-77.5,38.7,1
04/26/17,TX,Lampasas,-98.1,31.1,1
04/26/17,IL,Oak Park,-87.8,41.9,1
04/26/17,NE,Fremont,-96.5,41.4,1
04/25/17,TX,Plainview,-101.7,34.2,1
04/25/17,GA,Saint Simons Island,-81.4,31.2,1
04/24/17,OH,Columbus,-83,39.9,1
04/23/17,IL,Des Plaines,-87.9,42,1
04/23/17,IN,Newburgh,-87.4,37.9,1
